word,definition
compare,比较，对照
ensure,保证；确保
resort,胜地；诉诸
invent,发明，创造
cook,烹调，煮，烧
letter,信；字母
address,地址；演说；谈吐
crime,罪，罪行；犯罪
simple,简单的
decrease,减少
response,回答；响应
link,联系；链接
beach,海滩，湖滩，河滩
financial,财政的，金融的
son,儿子
go,去；变得
pour,倒；灌
hang,挂，悬挂
beloved,为…所爱的；爱人
say,说
lady,女士；夫人
confident,确信的，自信的
anchor,锚；抛锚，停泊
consumption,消耗量；消费
junior,年少的；下级的
despite,不管，不顾
blend,混和
only,唯一的；只
bird,鸟，禽
dust,灰尘，尘土
pile,堆；积累
label,标签；标记
court,法院，法庭；庭院
rush,冲；匆忙
license,执照；许可
omit,省略，遗漏
route,路线；航线
spokesman,发言人
writing,书写；作品
regard,看待；问候
ought,应该
product,产品；产物
collapse,倒塌；崩溃
jump,跳；跳跃
change,改变，变更；零钱
noble,高尚的；贵族的
architecture,建筑学；建筑式样
merry,欢乐的，愉快的
flash,闪光；闪烁
shut,关上；关闭
conscious,意识到的；有意的
kill,杀死
fate,命运
notion,概念；想法
insect,昆虫
bit,一点，一些，小片
encourage,鼓励，支持
belt,带，腰带；皮带；区
should,应该
electronic,电子的
ship,船；装运
persuade,说服，劝说
advisable,明智的；可取的
mail,邮件；邮寄
consumer,消费者，用户
marriage,结婚；婚姻
ring,戒指；铃声
defect,缺点，缺陷
improvement,改善，改进
huge,巨大的
whenever,无论何时
accelerate,(使)加快；促进
crop,农作物，庄稼
classify,分类；归类
differ,不同，相异
need,需要；必须
deprive,剥夺，夺去
seven,七
estimate,估计；评价
stay,停留；保持
cool,凉的，凉爽的
daughter,女儿
fall,落下；跌倒；秋天
numerous,许多的
thus,因此；这样
imagination,想象力
pray,祈祷；请求
ugly,丑陋的
disorder,混乱；失调
start,开始；出发
odd,奇数的；奇怪的
admire,钦佩，羡慕，赞赏
image,图像；形象
struggle,斗争；奋斗
program,节目；程序；计划
light,光；灯；轻的
interest,兴趣；利息
dependent,依赖的，从属的
dozen,一打，十二个
course,课程；过程；航线
society,社会
faithful,忠实的；忠诚的
idle,空闲的；懒散的
arrival,到达；到来；到达者
chief,主要的；首领
beautiful,美的，美丽的
accessory,同谋，从犯；附件
unite,联合；团结
slight,轻微的
small,小的
gross,总的；毛重的
earth,地球；陆地
appliance,用具，器具，器械
defend,保卫，防守
glimpse,一瞥，一看
account,记述；解释；帐目
dictate,口授；命令
evidence,证据；迹象
include,包括，包含
emotional,感情的；情绪的
employer,雇主
weapon,武器
murder,谋杀
impose,把…强加
drip,滴下；漏水
curve,曲线；弯曲
analyse,分析，分解，解析
correspond,符合；通信
blackboard,黑板
break,打破；损坏；打断
hollow,空的；空洞的
ideal,理想的；观念
breathe,呼吸
conscience,良心，道德心
particular,特别的；特定的
handkerchief,手帕
influence,影响；势力
many,许多的
tell,告诉；辨别
generate,产生；发生
leap,跳，跃
scientist,科学家
blow,吹，吹动；吹响
oppose,反对；对抗
bed,床，床位；圃；河床
conservation,保存，保护
belong,属于，附属
accept,接受；同意
cousin,堂(表)兄弟(姐妹)
acre,英亩(=6.07 亩)
distort,歪曲，扭曲
examine,检查；诊察
enter,进入；参加
ignore,忽视，不理睬
afford,担负得起…；提供
nation,国家，民族
neither,两者都不
astronaut,宇宙航行员，宇航员
wonder,想知道；惊奇
bell,钟，铃，门铃；钟声
lead,领导；引导
plant,植物；工厂；种植
north,北，北方
next,下一个；其次
nationality,国籍
queen,女王；王后
environment,环境
produce,生产；产生
identity,身份；特性
elder,年长者；长辈
guilty,有罪的；内疚的
box,拳击，打拳
teaching,教学；教导
intend,想要，打算
skill,技能；技巧
modify,更改，修改
seldom,很少，不常
agent,代理人，代理商
therefore,因此
build,建筑；建立
beast,兽，野兽；牲畜
intellectual,知识分子；智力的
threaten,威胁；恐吓
explosion,爆炸；爆发
resolve,解决；决心
semester,学期
prepare,准备；预备
analysis,分析，分解，解析
distinct,独特的；明显的
temporary,暂时的
forgive,原谅，饶恕
base,基础，底层；基地
commander,司令官，指挥员
shine,照耀；发光
discipline,纪律；学科
automatic,自动的；机械的
bean,豆，蚕豆
besides,而且；除…之外
firm,坚固的；公司
atmosphere,大气；空气；气氛
finally,最后；终于
kitchen,厨房
depth,深度；深处
surface,表面
passage,通道；段落
exact,确切的；准确的
curse,诅咒，咒骂
predict,预言，预测
relation,关系；亲属
polish,磨光；使优美
outcome,结果
engineering,工程学
excuse,原谅；借口
between,在…中间
cement,水泥；胶泥
merchant,商人
current,当前的；水流
defeat,战胜，击败
motion,运动；动议
map,地图
cooperate,合作，协作
sum,总数；金额
snow,雪；下雪
cat,猫
serve,服务；服役
occur,发生；出现
uniform,制服；相同的
confidence,信任；信心；秘密
wherever,无论哪里
really,真正地
envelope,信封；封套
virtue,美德
menu,菜单
sing,唱歌
handful,一把；少数
fifth,第五
incident,事件；事变
event,事件；比赛项目
rat,老鼠
already,早已，已经
weather,天气
black,黑色的；黑暗的
exchange,交换；兑换
staff,全体人员；棍
shake,摇动；震动
shoot,射击；拍摄
dangerous,危险的
scold,责骂
collective,集体的；集体
lively,活泼的；生动的
horse,马
french,法国的；法语
serious,严重的；认真的
disappear,消失，不见
guess,猜测；猜想
conductor,售票员；导体；指挥
port,港口
nice,好的；令人愉快的
cargo,船货，货物
annual,每年的；年报
bow,弓；蝴蝶结；鞠躬
drift,漂流；漂移
objective,客观的；目标
tender,温柔的；嫩的
weak,弱的；虚弱的
protest,抗议
blade,刀刃，刀片；叶片
net,网；净的
possess,拥有，具有
win,赢；获胜
pretend,假装
pencil,铅笔
appetite,食欲，胃口；欲望
criticize,批评；评论
nearby,附近的
guide,导游；指导
mistake,错误；误解
escape,逃跑；逃脱
fruit,水果；果实
widespread,广泛的
castle,城堡
housewife,家庭主妇
desk,书桌，办公桌
model,模型；模特
plenty,丰富；充足
quality,质量；品质
disturb,打扰，扰乱
custom,习俗，风俗；海关
sphere,球体；范围
notice,注意；通知
coast,海岸，海滨
may,可以；可能
wise,聪明的
get,获得；变得
wrap,包；裹
abroad,(在)国外；到处
store,商店；储存
anyone,任何人
grade,等级；年级；分数
explanation,解释；说明
enormous,巨大的
dialogue,对话，对白
county,郡，县
pan,平底锅
sudden,突然的
illustrate,说明；阐明
cry,哭；叫喊
somehow,以某种方式
lump,块；肿块
accent,口音，腔调；重音
happen,发生
valuable,有价值的
room,房间；空间
devote,将…奉献；致力于
west,西，西方
wool,羊毛
garbage,垃圾
theory,理论
place,地方；放置
automobile,汽车，机动车
video,视频
hence,因此；今后
lab,实验室
country,国家，国土；农村
accustom,使习惯
interrupt,打断；中断
experimental,实验的
agriculture,农业，农艺；农学
ceremony,典礼，仪式；礼节
front,前面；前线的
april,四月
carrier,搬运人；运载工具
exercise,练习；锻炼
cake,饼，糕，蛋糕
mayor,市长
calm,平静的；镇静
awful,令人不愉快的
tourist,游客
universe,宇宙
pole,杆；极点
can,能；罐头
whether,是否
joy,欢乐，高兴
punish,惩罚
steep,陡峭的
cave,洞，穴；窑洞
aloud,出声地，大声地
establish,建立，设立
autumn,秋，秋季
chamber,房间；议院
again,又一次；而且
various,各种各样的
call,叫，喊；打电话
mountain,山，山脉
around,在…周围
student,学生
sheet,床单；薄片
suitable,合适的
violent,暴力的
pain,疼痛；痛苦
cut,切，割，剪
concept,概念，观念
strip,条；剥去
culture,文化，文明
employee,雇员，员工
rub,摩擦
every,每个，每一
sugar,糖
article,文章；条款；物品
something,某事
yours,你的
gravity,重力；严重性
bright,明亮的；聪明的
routine,日常的；常规
branch,树枝；分部；分科
message,消息；信息
lonely,孤独的；寂寞的
volume,体积；音量
accomplish,达到(目的)；完成
consideration,考虑；照顾
habit,习惯
carrot,胡萝卜
hour,小时
release,释放；发布
harbor,港口；避难所
camera,照相机，摄影机
adult,成年人；成年的
brain,脑，脑髓；脑力
holiday,假日，节日
astonish,使惊讶，使吃惊
hurry,赶紧；匆忙
demonstrate,论证；演示；示威
carbon,碳
fellow,人；家伙；同伴
trouble,麻烦；烦恼
consciousness,意识，觉悟
grocery,食品杂货店
plane,飞机；平面
tea,茶
variety,多样性；种类
utility,效用；公用事业
acid,酸；酸的，酸性的
turn,转动；转变
prince,王子
clerk,店员；办事员
accordingly,因此，所以；照着
memory,记忆；内存
administration,管理；管理部门
very,非常；很
not,不，没有
academic,学院的；学术的
border,边，边缘；边界
establishment,建立，设立
office,办公室；职务
greeting,问候，招呼
relative,相对的；亲戚
relief,减轻；救济
conversely,相反地
in,在…里面
mount,山；登上
illegal,非法的
medium,中等的；媒体
mercy,仁慈；怜悯
yesterday,昨天
tomorrow,明天
distinguish,区别，辨别
extension,延伸；扩展
ask,问；要求；邀请
main,主要的
neighbor,邻居
democracy,民主，民主制
river,河流
appearance,出现，来到；外观
highway,公路，大路
engineer,工程师
ladder,梯子
century,世纪，百年
advise,劝告；建议；通知
big,大的，巨大的
tie,领带；系
flame,火焰；光辉
percent,百分之…
reply,回答；答复
bore,使厌烦；钻，挖
quick,快的；迅速的
healthy,健康的
information,信息；情报
issue,问题；发行
damage,损害，毁坏
enable,使能够
rare,稀有的；珍贵的
add,添加，附加，掺加
certain,确实的；一定的
adequate,足够的；可以胜任的
beggar,乞丐，穷人
bosom,胸，胸部；内心
elsewhere,在别处
group,群；小组；聚集
courtyard,庭院，院子
fifteen,十五
usually,通常
blaze,火；闪光；燃烧
zoo,动物园
walk,走；散步
sleep,睡觉
radio,无线电；收音机
nuclear,核的；原子能的
classroom,教室
network,网络；网状物
clothes,衣服，服装
troop,军队；一群
ambition,雄心，抱负，野心
refrigerator,冰箱
unit,单位；单元
unknown,未知的
league,联盟；社团
software,软件
level,水平；级别
discovery,发现；被发现的事物
session,会议；一段时间
alloy,合金；(金属的)成色
study,学习；研究
cart,二轮运货马车
twice,两次；两倍
write,写
pocket,口袋
sir,先生
judgment,审判；判断
generous,慷慨的；宽宏大量的
work,工作；运转
obtain,获得，得到
picnic,野餐
alcohol,酒精，乙醇
marry,结婚，嫁娶
rest,休息；其余的
plus,加；正的
catch,捉住；赶上；领会
politics,政治；政治学
critic,批评家，评论家
resistance,抵抗；阻力
seed,种子
prove,证明；结果是
matter,事情；物质；要紧
stretch,伸展；延伸
motor,发动机；马达
educate,教育；培养
bone,骨，骨骼
detail,细节；详情
perform,执行；表演
gesture,手势；姿态
settle,解决；定居
seat,座位
objection,反对；异议
ashamed,惭愧(的)；羞耻(的)
asian,亚洲的；亚洲人
clothing,衣服，被褥
best,最好的；最大的
funny,有趣的；好笑的
almost,几乎，差不多
react,反应
cap,帽子，便帽
tendency,趋势；倾向
origin,起源；出身
everyone,每人，人人
building,建筑物；建筑
loud,大声的
cruel,残忍的，残酷的
mother,母亲
bench,长凳，条凳；工作台
connect,连接；联系
absolutely,完全地；绝对地
foreign,外国的；对外的
fifty,五十
match,比赛；火柴；匹配
storage,储存；仓库
mystery,神秘；神秘的事物
breakthrough,突破
golden,金色的；珍贵的
birthday,生日，诞生的日期
driver,驾驶员，司机
six,六
doubt,怀疑；疑虑
flag,旗，旗帜
consent,同意，赞成
isolate,隔离；孤立
shadow,影子；阴影
register,登记；注册
quiet,安静的
worker,工人
local,地方的；本地的
minor,较小的；次要的
bottle,瓶，酒瓶；一瓶
blue,蓝色的；蓝色
let,让；允许
device,装置，设备
forever,永远，总是
compose,组成，构成；创作
today,今天
wild,野生的；荒凉的
economic,经济的
stem,茎；起源
sit,坐
same,相同的；同样的
poem,诗
shop,商店；购物
rather,相当；宁愿
style,风格；样式
her,她的；她
laughter,笑，笑声
average,平均数；平均的
pen,钢笔
head,头；首领
dirty,脏的
camp,野营，营地
shortage,不足；缺少
think,想；认为
combination,结合，联合
brief,简短的；摘要
station,车站；站
rid,使摆脱
sister,姐妹
inform,通知；告知
efficiency,效率；功效
feature,特征；特色
absent,不在场的；缺乏的
soil,土壤
visitor,访问者
night,夜，夜晚
finance,财政，金融
religion,宗教
girl,女孩，姑娘
slave,奴隶
boot,靴子，长统靴
entertainment,娱乐；招待
flesh,肉，肉体
radical,根本的；激进的
motive,动机，目的
division,分，分配；部门
commit,犯(错误)；干(坏事)
after,在…以后；次于
thank,感谢
platform,平台；站台
disaster,灾难，灾祸
island,岛屿
patience,耐心
argument,争论，辩论；理由
western,西方的
household,家庭的；家务
manual,体力的；手册
committee,委员会
board,板；上(船、车等)
effective,有效的
question,问题；询问
opportunity,机会
continue,继续，连续
inn,小旅馆
pond,池塘
evolution,进化，演变
prospect,前景；展望
bear,容忍；负担；生育
bomb,炸弹；轰炸
zero,零
injury,损害；伤害
movement,运动；活动
lovely,可爱的；令人愉快的
assemble,集合，召集；装配
wound,伤口；受伤
well,好；健康的
dish,碟，盘子；菜肴
dull,枯燥的；阴暗的
index,索引；指数
failure,失败；失败的人
traffic,交通
ride,骑；乘坐
regulation,规则；管理
symbol,符号；象征
shy,害羞的
trousers,裤子
voice,声音；嗓音
centre,中心；中央
arithmetic,算术，四则运算
progress,进步；前进
button,纽扣；按钮
recent,最近的
elementary,基本的；初级的
debt,债，债务
brave,勇敢的
sympathy,同情
halt,停止；停住
till,直到
corporate,公司的；团体的
mental,精神的；智力的
early,早的；早期
duration,持续时间
pursue,追赶；追求
rich,富的；丰富的
method,方法，办法
certificate,证书，证明书
remember,记得；记住
patient,耐心的；病人
seek,寻找；追求
drum,鼓；鼓状物
pace,步；速度
structure,结构；建筑物
chase,追赶，追逐
nail,钉子；指甲
deliver,投递，送交；发表
basket,篮，篓，筐
calculate,计算；推算
experiment,实验；试验
railroad,铁路
cross,穿过；交叉
journalist,记者
rural,农村的
cost,费用；成本
ball,球，球状物；舞会
aspect,方面；样子，外表
balloon,气球，玩具气球
rival,竞争对手
performance,表演；表现
attack,攻击，进攻
approximate,近似的；近似
forbid,禁止，不许
resist,抵抗；抵制
director,指导者；导演；董事
conduct,引导；管理；传导
recommend,推荐
dance,跳舞；舞蹈
tall,高的
personnel,全体人员
growth,增长；生长
hole,洞，孔
government,政府
echo,回声；反响
record,记录；唱片
prefer,更喜欢
window,窗户
cushion,垫子，靠垫
hardship,困苦，苦难
nut,坚果；螺母
full,满的；完整的
comparison,比较，对照
greek,希腊的；希腊人
thick,厚的；浓的
farmer,农民，农场主
your,你的
amount,总数；数量；和
exciting,令人兴奋的
keep,保持；保存
swing,摇摆；秋千
headquarters,总部；司令部
football,足球
region,地区；区域
dark,暗的；黑色的
weigh,称；重
medical,医学的；医疗的
stock,股票；库存
proof,证据；证明
bolt,螺栓；插销；闩门
animal,动物，兽；动物的
down,向下；在下面
basically,基本上
solve,解决
acceleration,加速(度)
approve,赞成，称许；批准
deduce,推论，推断
kilogram,千克，公斤
option,选择；选项
manager,经理
expectation,预期；期望
computer,计算机，电脑
emotion,情感；情绪
wake,醒来；唤醒
biology,生物学；生态学
guard,守卫；警卫
substantial,大量的；实质的
dead,死的；无生命的
value,价值；重视
solar,太阳的
lawn,草坪
sweet,甜的；可爱的
minimum,最小的；最低限度
dog,狗
location,位置；场所
procedure,程序；手续
wheat,小麦
illness,疾病
could,能够
couple,一对；夫妇
existence,存在，生存
wait,等；等待
historical,历史的
use,使用；用途
accidental,偶然的；非本质的
tale,故事；传说
concert,音乐会，演奏会
tip,尖端；小费
emphasize,强调，着重
survive,幸存；比…活得长
surrounding,周围的
book,书，书籍；预定
initiative,首创精神；主动性
proportion,比例；部分
teenager,青少年
bet,打赌
academy,私立中学；专科院校
miss,想念；错过
fish,鱼；钓鱼
racial,种族的
check,检查；核对；支票
thin,薄的；瘦的
since,自从；因为
ceiling,天花板，顶篷
valley,山谷
instruct,教；指示
father,父亲
period,时期；周期
claim,声称；索取；要求
navigation,航海；导航
majority,多数
sufficient,足够的
translation,翻译
graduate,毕业生；毕业
error,错误，误差
where,在哪里
pretty,漂亮的；相当
dollar,美元
amplify,放大，增强；扩大
personal,个人的；私人的
technique,技术；技巧
anger,怒，愤怒；使发怒
regime,政权；制度
carry,携带；运载；传送
production,生产；产量
trap,陷阱；使陷入
executive,执行的；主管
consequence,结果，后果
media,媒体
state,状态；国家；陈述
dimension,尺寸；维度
february,二月
through,通过；穿过
pot,锅；壶
sign,符号；签名
security,安全
lid,盖子
impress,给…深刻印象
convince,使确信，使信服
reluctant,不情愿的
visible,看得见的
shell,壳；炮弹
impossible,不可能的
exploit,开发；剥削
overcome,克服；战胜
drama,戏剧；戏剧性
wander,漫步；徘徊
alone,单独的；单独地
sand,沙子
headline,大字标题
policy,政策；方针
customer,顾客，主顾
move,移动；搬家
secure,安全的；获得
oxygen,氧气
generally,通常；普遍地
great,伟大的；重大的
bite,咬，叮，螫；刺穿
vehicle,车辆；工具
backward,向后的；倒的
save,救；节省
planet,行星
motivate,激励
cheat,欺骗；作弊
forty,四十
person,人
block,街区；堵塞，拦阻
acquaintance,认识；了解；熟人
spread,传播；展开
rely,依赖，依靠
police,警察；警方
portrait,肖像；画像
operation,操作；手术
authority,当局，官方；权力
withdraw,撤退；取款
harm,伤害，损害
flavor,味，味道
ripe,成熟的
glance,看一眼；扫视
ten,十
cent,分；百
rock,岩石；摇滚
such,这样的；如此
complicated,复杂的，难懂的
weakness,弱点；虚弱
day,天，白天
rope,绳子
profit,利润；收益
campaign,战役；运动
nobody,没有人
selection,选择；精选
across,横过；在…对面
belief,信任，相信；信念
choose,选择，挑选
artist,艺术家，美术家
prison,监狱
research,研究；调查
part,部分；角色
responsible,负责的
mood,心情，情绪
noise,噪音，喧闹声
acceptance,接受，验收；承认
poverty,贫穷
revision,修订；修改
skin,皮肤
water,水
native,本地的；本国人
carpet,地毯，毛毯
simply,简单地；仅仅
dominant,支配的；主要的
corn,谷物；玉米
low,低的；矮的
basic,基本的，基础的
share,分享；份额
chill,使变冷；寒冷
passive,被动的
web,网；网络
pioneer,先驱；开拓者
until,直到
number,数字；号码
prayer,祈祷
disposal,处置；处理
pair,一对；一双
poison,毒；毒害
philosophy,哲学
short,短的；矮的
geometry,几何，几何学
text,文本；课文
suit,适合；套装
technical,技术的
aggressive,侵略的；好斗的
amuse,逗…乐；给…娱乐
hall,大厅；礼堂
gray,灰色的；灰色
join,连接；参加
possible,可能的
digest,消化；摘要
hill,小山，山丘
lifetime,一生，终身
art,艺术，美术；技术
minute,分钟；微小的
prompt,促使；迅速的
lecture,演讲；讲课
concrete,混凝土；具体的
wood,木头；树林
slim,细长的；微小的
fight,战斗；打架
organic,有机的
rose,玫瑰花
instrument,仪器；工具
distinction,差别；区分
overlook,俯瞰；忽略
pupil,学生；瞳孔
ordinary,普通的；平常的
laser,激光
ancient,古代的，古老的
slow,慢的；减慢
clarify,澄清，阐明
immediate,立即的；直接的
calendar,日历，历书
distant,远的；冷淡的
multiple,多样的；倍数
china,中国；瓷器
drag,拖，拉
throughout,遍及；贯穿
fine,美好的；纤细的；罚款
born,天生的；出生的
substitute,替代品；替代
innocent,无罪的；天真的
grass,草；草地
acute,尖的，锐的；敏锐的
leather,皮革
composition,构成；作品；作文
read,读；阅读
grow,生长；种植；变得
become,变成；成为，变得
which,哪个
lawyer,律师
hero,英雄；男主角
negotiate,谈判，协商
power,权力；力量；电力
blank,空白的；空白
marvelous,惊人的；奇迹般的
moment,片刻；时刻
spend,花费；度过
easy,容易的；安逸的
condition,条件；状况
breed,繁殖；饲养
comfortable,舒适的
two,二
bear,熊；粗鲁的人
climate,气候
holy,神圣的
sheer,纯粹的；陡峭的
prize,奖品；奖金
so,因此；如此
friendship,友谊，友好
put,放；放置
spirit,精神；灵魂
vary,变化；不同
tradition,传统
conclude,推断出；结束
ease,容易；舒适
dig,挖，掘
interpret,解释；口译
useful,有用的
collection,收集，收藏品
attention,注意，留心；注意力
historian,历史学家
curious,好奇的；稀奇古怪的
furthermore,此外，而且
view,观点；景色
false,不真实的；错误的
reading,阅读；读物
glass,玻璃；玻璃杯
grind,磨碎；碾碎
apologize,道歉，谢罪，认错
aunt,伯母，婶母，姑母
dim,暗淡的；模糊的
heaven,天堂；天空
constant,经常的；恒定的
roll,滚动；卷
remote,遥远的；偏僻的
bury,埋葬；掩埋
hire,雇用；租用
over,在…上方；超过
thousand,千
scope,范围；余地
glad,高兴的；乐意的
constantly,经常地；不断地
management,管理；管理部门
shout,呼喊
classmate,同班同学
chip,片，碎片；芯片
empty,空的；空虚的
yourself,你自己
aluminium,铝
right,正确的；权利
color,颜色，色彩；颜料
apparent,表面上的；明显的
song,歌曲
labor,劳动；劳工
helicopter,直升机
stake,桩；赌注
most,最多的；最
attach,缚，系，贴；附加
suffer,遭受；忍受
what,什么
chess,棋；国际象棋
bough,树枝
farm,农场；饲养
carve,刻，雕刻
nearly,几乎，差不多
total,总的；完全的
gaze,凝视，注视
east,东，东方
spiritual,精神的
physical,身体的；物理的
mixture,混合物
maintain,维持；保养
will,将；意志
reject,拒绝；驳回
princess,公主
summarize,总结，概括
there,那里
vision,视力；远见
hear,听见；得知
heart,心；内心
have,有；必须
worst,最坏的
moreover,此外，而且
spot,地点；斑点
bargain,交易；议价；成交
adjective,形容词
everybody,每人，人人
puzzle,谜；困惑
open,打开；开放的
contain,包含，容纳
horizon,地平线；眼界
ticket,票；入场券
modern,现代的
admit,承认；准许…进入
occasional,偶尔的
praise,赞扬，表扬
loss,丧失；损失
bath,浴，洗澡；浴缸
dye,染，染色
reflect,反射；反映
crush,压碎；镇压
angle,角，角度
recognition,认出；承认
invite,邀请
define,给…下定义
poor,贫穷的；可怜的
important,重要的
depression,沮丧；萧条
host,主人；主持人
intention,意图，目的
beat,打，敲；打败
decade,十年
someone,某人
cloth,布，织物
genius,天才，天赋
nerve,神经；勇气
signal,信号
foundation,基础；基金会
combine,结合，联合
circle,圆，圆周；圈子
summer,夏天
ghost,鬼魂，幽灵
pattern,模式；图案
hundred,百
death,死，死亡
anyhow,无论如何
seize,抓住；夺取
eat,吃，吃饭
kid,小孩；开玩笑
independence,独立；自主
shower,淋浴；阵雨
shave,剃；刮
photo,照片
half,一半
highlight,强调；最精彩的部分
criminal,犯人，罪犯
usual,通常的
frown,皱眉
attempt,尝试，试图；企图
thought,想法；思想
practical,实际的；实用的
package,包裹；包装
juice,汁，液
visit,访问；参观
birth,分娩，出生；出身
advance,前进；提高；进展
publish,出版；公布
specialist,专家
scheme,计划；方案
might,可能；力量
hold,拿住；举行；容纳
library,图书馆
stupid,愚蠢的
affect,影响；感动
supreme,最高的；至上的
favorite,最喜欢的
bloom,花；开花，开花期
cinema,电影院
advanced,先进的；高级的
portion,部分；一份
victory,胜利
top,顶部；最高的
political,政治的
lord,贵族；上帝
opposition,反对；抵抗
behavior,行为，举止，态度
nor,也不
enforce,实施，执行
regarding,关于
african,非洲的；非洲人
automation,自动，自动化
compete,比赛；竞争
exhibit,展览；陈列
stiff,僵硬的
cabbage,洋白菜，卷心菜
install,安装；设置
female,女性的；雌性的
smooth,光滑的；平稳的
film,影片；胶卷
capture,捕获，俘获
control,控制，支配
cotton,棉；棉线；棉布
trade,贸易；行业
sharp,锋利的；敏锐的
countryside,乡下，农村
ready,准备好的
entrance,入口；进入
feed,喂，饲养
generation,一代人；产生
end,末端；结束
major,主要的；专业
american,美洲的；美国人
consistent,一致的；始终如一的
steam,蒸汽
apartment,一套公寓房间
yard,院子；码
danger,危险
frost,霜；严寒
by,在…旁边；被，由
congress,大会；国会
health,健康
abnormal,不正常的；变态的
magic,魔法；魔术
original,原始的；独创的
background,背景，后景，经历
religious,宗教的
owner,物主，所有者
earn,赚得，挣得
off,离开；关掉
embrace,拥抱；包括
sail,航行；帆
then,然后；那时
five,五
tooth,牙齿
determine,决定；决心
few,很少的；少数
invasion,入侵，侵略
busy,忙的；繁忙的
agency,经办；代理；代理处
task,任务；工作
clay,粘土，泥土
recently,最近
panel,面板；专门小组
tension,紧张；张力
spell,拼写
friendly,友好的
fan,扇子；狂热爱好者
lion,狮子
pale,苍白的；淡的
potential,潜在的；潜力
neutral,中立的
import,进口；输入
sustain,维持；支撑
people,人们；人民
mission,使命；任务
train,火车；训练
glove,手套
soldier,士兵
disability,残疾；无能
heat,热；加热
adverb,副词
logic,逻辑；推理
hope,希望
complex,复杂的；综合体
moral,道德的；寓意
soul,灵魂；心灵
whole,整个的；完全的
kind,种类；善良的
conventional,传统的；惯例的
intense,强烈的；紧张的
costly,昂贵的；价值高的
burn,烧，燃烧；烧伤
convenient,便利的，方便的
unusual,不寻常的
crazy,疯狂的，荒唐的
aircraft,飞机，飞行器
severe,严重的；严厉的
actor,男演员；演剧的人
way,方法；路
design,设计；图案
breadth,宽度；幅度；幅员
passion,热情；激情
wrong,错误的；不对的
baggage,行李
prevent,预防；阻止
site,地点；场所
chair,椅子；主席
painful,痛苦的
spring,春天；弹簧
with,和；用
safe,安全的
earnest,认真的；诚挚的
hopeful,有希望的
hate,恨，憎恨
score,得分；二十
trace,踪迹；追踪
float,漂浮；飘动
aid,帮助，救护；助手
candidate,候选人；报考者
truck,卡车
pump,泵；抽水机
paragraph,段落
battle,战役；斗争；作战
darkness,黑暗
either,两者之一；也
stair,楼梯
reader,读者；读物
cheek,面颊，脸蛋
reputation,名誉；声望
toward,向；朝
television,电视
content,内容；满足的
hot,热的；辣的
pronunciation,发音
specific,具体的；特定的
quantity,数量
pink,粉红色的
bundle,捆，包，束
news,新闻，消息
cherry,樱桃；樱桃树
prisoner,囚犯
department,部，司，局；系
